,id,tree_id,parent_id,title,description,participant,condition,created,is_example,example_id,replicated_tree_id,study,discarded,done
0,5468,586,5466.0,Zeitplanung,,542.0,,2021-09-20 18:12:15,0,,,,0,
1,5467,586,5465.0,Vorlesung besuchen,,542.0,,2021-09-20 18:11:45,0,,,,0,
2,5466,586,5465.0,Lernen,,542.0,,2021-09-20 18:11:16,0,,,,0,
3,5465,586,5464.0,gute Klausuren ,,542.0,,2021-09-20 18:10:52,0,,,,0,
4,5464,586,,erfolgreiches Studiu,,542.0,,2021-09-20 18:10:00,0,,,,0,
5,5463,585,5461.0,Zusammenhänge,,536.0,,2021-09-20 18:05:53,0,,,,0,
6,5462,585,5461.0,Was gibt's alles?,,536.0,,2021-09-20 18:05:16,0,,,,0,
7,5461,585,,breites Fachwissen,,536.0,,2021-09-20 18:02:14,0,,,,0,
8,5460,584,5453.0,Anmeldung beim PA,Formulare ausfüllen,529.0,,2021-09-20 10:32:39,0,,,,0,
9,5459,584,5453.0,Literaturrecherche,Mindestens 5 Studien finden,529.0,,2021-09-20 10:32:12,0,,,,0,
10,5458,584,5454.0,Absprachen treffen,Mit Betreuer treffen,529.0,,2021-09-20 10:31:33,0,,,,0,
11,5457,584,5454.0,Literatur lesen,Bortz lesen und recherchieren,529.0,,2021-09-20 10:31:18,0,,,,0,
12,5456,584,5455.0,Variablen berechnen,Syntax erstellen,529.0,,2021-09-20 10:30:44,0,,,,0,
13,5455,584,5454.0,Moderationsanalyse,Bortz lesen und auf SPSS anwenden,529.0,,2021-09-20 10:27:19,0,,,,0,
14,5454,584,5453.0,Daten auswerten,korrekte Statistik anwenden und SPSS Syntax schreiben,529.0,,2021-09-20 10:25:51,0,,,,0,
15,5453,584,,BA schreiben,,529.0,,2021-09-20 10:24:44,0,,,,0,
16,5452,583,5448.0,Adv. Unity,,521.0,,2021-09-15 10:45:45,0,,,,0,
17,5451,583,5450.0,TF freecodecamp,,521.0,,2021-09-15 10:45:30,0,,,,0,
18,5450,583,5449.0,Oktober Vorbereitung,,521.0,,2021-09-15 10:45:15,0,,,,0,
19,5449,583,5448.0,ANNs in TF,,521.0,,2021-09-15 10:44:51,0,,,,0,
20,5448,583,5432.0,Kurse,,521.0,,2021-09-15 10:44:39,0,,,,0,
21,5447,583,5443.0,Uni vs. Firma,,521.0,,2021-09-15 10:44:05,0,,,,0,
