,id,questionnaire,code,text,latent_variable,answers,participant,created,given_answer,reverse_coded,personal_goal,goal
0,13645,complexity_assessment_4,complexity_assessment_4_4,Die Visualisierung erscheint mir intuitiv.,,"trifft überhaupt nicht zu,trifft nicht zu,trifft eher nicht zu,teils-teils,trifft eher zu,trifft zu,trifft vollkommen zu",552,2021-09-22 11:43:45,trifft eher nicht zu,0,,
1,13644,complexity_assessment_4,complexity_assessment_4_3,Die Visualisierung ist überfordernd.,,"trifft überhaupt nicht zu,trifft nicht zu,trifft eher nicht zu,teils-teils,trifft eher zu,trifft zu,trifft vollkommen zu",552,2021-09-22 11:43:45,teils-teils,0,,
2,13643,complexity_assessment_4,complexity_assessment_4_2,"Die Visualisierung hat eine logische Struktur, der leicht zu folgen ist.",,"trifft überhaupt nicht zu,trifft nicht zu,trifft eher nicht zu,teils-teils,trifft eher zu,trifft zu,trifft vollkommen zu",552,2021-09-22 11:43:45,trifft eher nicht zu,0,,
3,13642,complexity_assessment_4,complexity_assessment_4_1,Die Visualisierung kann als komplex beschrieben werden.,,"trifft überhaupt nicht zu,trifft nicht zu,trifft eher nicht zu,teils-teils,trifft eher zu,trifft zu,trifft vollkommen zu",552,2021-09-22 11:43:45,trifft eher zu,0,,
4,13641,complexity_assessment_3,complexity_assessment_3_4,Die Visualisierung erscheint mir intuitiv.,,"trifft überhaupt nicht zu,trifft nicht zu,trifft eher nicht zu,teils-teils,trifft eher zu,trifft zu,trifft vollkommen zu",552,2021-09-22 11:43:18,trifft vollkommen zu,0,,
5,13640,complexity_assessment_3,complexity_assessment_3_3,Die Visualisierung ist überfordernd.,,"trifft überhaupt nicht zu,trifft nicht zu,trifft eher nicht zu,teils-teils,trifft eher zu,trifft zu,trifft vollkommen zu",552,2021-09-22 11:43:18,trifft überhaupt nicht zu,0,,
6,13639,complexity_assessment_3,complexity_assessment_3_2,"Die Visualisierung hat eine logische Struktur, der leicht zu folgen ist.",,"trifft überhaupt nicht zu,trifft nicht zu,trifft eher nicht zu,teils-teils,trifft eher zu,trifft zu,trifft vollkommen zu",552,2021-09-22 11:43:18,trifft zu,0,,
7,13638,complexity_assessment_3,complexity_assessment_3_1,Die Visualisierung kann als komplex beschrieben werden.,,"trifft überhaupt nicht zu,trifft nicht zu,trifft eher nicht zu,teils-teils,trifft eher zu,trifft zu,trifft vollkommen zu",552,2021-09-22 11:43:18,trifft nicht zu,0,,
8,13637,complexity_assessment_2,complexity_assessment_2_4,Die Visualisierung erscheint mir intuitiv.,,"trifft überhaupt nicht zu,trifft nicht zu,trifft eher nicht zu,teils-teils,trifft eher zu,trifft zu,trifft vollkommen zu",552,2021-09-22 11:42:50,trifft nicht zu,0,,
9,13636,complexity_assessment_2,complexity_assessment_2_3,Die Visualisierung ist überfordernd.,,"trifft überhaupt nicht zu,trifft nicht zu,trifft eher nicht zu,teils-teils,trifft eher zu,trifft zu,trifft vollkommen zu",552,2021-09-22 11:42:50,trifft zu,0,,
10,13635,complexity_assessment_2,complexity_assessment_2_2,"Die Visualisierung hat eine logische Struktur, der leicht zu folgen ist.",,"trifft überhaupt nicht zu,trifft nicht zu,trifft eher nicht zu,teils-teils,trifft eher zu,trifft zu,trifft vollkommen zu",552,2021-09-22 11:42:50,trifft nicht zu,0,,
11,13634,complexity_assessment_2,complexity_assessment_2_1,Die Visualisierung kann als komplex beschrieben werden.,,"trifft überhaupt nicht zu,trifft nicht zu,trifft eher nicht zu,teils-teils,trifft eher zu,trifft zu,trifft vollkommen zu",552,2021-09-22 11:42:50,trifft zu,0,,
12,13633,complexity_assessment_1,complexity_assessment_1_4,Die Visualisierung erscheint mir intuitiv.,,"trifft überhaupt nicht zu,trifft nicht zu,trifft eher nicht zu,teils-teils,trifft eher zu,trifft zu,trifft vollkommen zu",552,2021-09-22 11:42:32,trifft eher nicht zu,0,,
13,13632,complexity_assessment_1,complexity_assessment_1_3,Die Visualisierung ist überfordernd.,,"trifft überhaupt nicht zu,trifft nicht zu,trifft eher nicht zu,teils-teils,trifft eher zu,trifft zu,trifft vollkommen zu",552,2021-09-22 11:42:32,teils-teils,0,,
14,13631,complexity_assessment_1,complexity_assessment_1_2,"Die Visualisierung hat eine logische Struktur, der leicht zu folgen ist.",,"trifft überhaupt nicht zu,trifft nicht zu,trifft eher nicht zu,teils-teils,trifft eher zu,trifft zu,trifft vollkommen zu",552,2021-09-22 11:42:32,trifft eher nicht zu,0,,
15,13630,complexity_assessment_1,complexity_assessment_1_1,Die Visualisierung kann als komplex beschrieben werden.,,"trifft überhaupt nicht zu,trifft nicht zu,trifft eher nicht zu,teils-teils,trifft eher zu,trifft zu,trifft vollkommen zu",552,2021-09-22 11:42:32,trifft eher zu,0,,
16,13629,big_five,ehrlich4,Ich habe schon mal über andere gelästert oder schlecht über sie gedacht.,,"trifft nicht zu,trifft eher nicht zu,trifft eher zu,trifft zu",552,2021-09-22 11:42:05,trifft eher zu,0,,
17,13628,big_five,ehrlich3,"Ich habe schon mal Dinge weitererzählt, die ich besser für mich behalten hätte.",,"trifft nicht zu,trifft eher nicht zu,trifft eher zu,trifft zu",552,2021-09-22 11:42:05,trifft eher zu,0,,
18,13627,big_five,ehrlich2,"Im privaten Bereich habe ich schon mal Dinge gemacht, die besser nicht an die Öffentlichkeit kommen sollten.",,"trifft nicht zu,trifft eher nicht zu,trifft eher zu,trifft zu",552,2021-09-22 11:42:05,trifft eher zu,0,,
19,13626,big_five,ehrlich1,Ich habe schon mal etwas unterschlagen oder nicht gleich zurückgegeben.,,"trifft nicht zu,trifft eher nicht zu,trifft eher zu,trifft zu",552,2021-09-22 11:42:05,trifft eher zu,0,,
20,13625,big_five,sicher6,"Am glücklichsten bin ich dann, wenn ich mich geborgen fühle.",,"trifft nicht zu,trifft eher nicht zu,trifft eher zu,trifft zu",552,2021-09-22 11:42:05,trifft eher nicht zu,0,,
