,id,age,gender,semester,subject,degree,created,finished,condition,study,study_sequence_position,additional_data,screen_size,operating_system,browser_language,siddata_user_id
2,565,,,,,,2021-09-24 19:36:45,,2,3,0.0,,,,,
3,564,,,,,,2021-09-24 19:36:38,,1,3,0.0,,,,,
15,552,,,,,,2021-09-22 11:37:05,,1,3,10.0,{},1920x1080,Linux x86_64,en-US,
16,551,,,,,,2021-09-22 11:36:50,,4,3,2.0,,,,,
17,550,,,,,,2021-09-22 11:12:29,,3,3,0.0,,,,,
22,545,,,,,,2021-09-21 08:38:26,,2,3,0.0,,,,,
25,542,19.0,female,3.0,Psychologie,,2021-09-20 17:55:47,2021-09-20 18:15:11,3,3,15.0,"{'studytool_used': 'no', 'computer_handling': 'Ich fühle mich im Umgang mit Computern sicher, aber finde mich in neuen Programmen nicht intuitiv zurecht.', 'consulting_requested': 'no'}",1536x864,Win32,de,
26,541,,,,,,2021-09-20 17:53:15,,2,3,2.0,,,,,
30,537,,,,,,2021-09-20 17:49:51,,2,3,0.0,,,,,
31,536,20.0,female,3.0,Cognitive Science,,2021-09-20 17:36:03,2021-09-20 18:11:48,1,3,15.0,"{'studytool_used': 'no', 'consulting_form': 'Berufsberatungsstelle des Arbeitsamts', 'computer_handling': 'Ich fühle mich im Umgang mit Computern sicher, aber finde mich in neuen Programmen nicht intuitiv zurecht.', 'consulting_requested': 'yes'}",1536x864,Win32,de-DE,
32,535,,,,,,2021-09-20 13:12:57,,4,3,2.0,,,,,
34,533,,,,,,2021-09-20 12:08:48,,2,3,0.0,,,,,
35,532,,,,,,2021-09-20 12:08:27,,1,3,0.0,,,,,
37,530,,,,,,2021-09-20 11:46:11,,3,3,0.0,,,,,
38,529,30.0,male,10.0,Psychologie,,2021-09-20 10:17:11,2021-09-20 10:36:49,2,3,15.0,"{'studytool_used': 'no', 'computer_handling': 'Ich fühle mich im Umgang mit Computern sicher und finde mich in neuen Programmen intuitiv und schnell zurecht.', 'consulting_requested': 'no'}",1920x1080,MacIntel,de-DE,
39,528,,,,,,2021-09-20 10:16:11,,1,3,2.0,,,,,
45,522,,,,,,2021-09-15 10:24:15,,3,3,0.0,,,,,
46,521,27.0,male,,Cognitive Science,,2021-09-15 10:07:29,2021-09-15 11:06:31,2,3,15.0,"{'studytool_used': 'no', 'computer_handling': 'Ich fühle mich im Umgang mit Computern sicher und finde mich in neuen Programmen intuitiv und schnell zurecht.', 'consulting_requested': 'no'}",1920x1080,Win32,de-DE,
54,513,,,,,,2021-09-13 12:15:38,,2,3,0.0,,,,,
55,512,,,,,,2021-09-13 12:14:56,,1,3,3.0,{},1920x1080,Linux x86_64,en-US,
56,511,,,,,,2021-09-13 12:14:29,,4,3,2.0,,,,,
67,500,,,,,,2021-09-09 14:05:41,,1,3,2.0,,,,,
70,497,,,,,,2021-09-09 11:04:44,,2,3,0.0,,,,,
71,496,,others,,testt,,2021-09-09 10:33:49,2021-09-09 10:42:35,1,3,15.0,"{'studytool_name': '', 'studytool_used': 'yes'}",810x1080,MacIntel,en-gb,
72,495,,,,,,2021-09-09 10:31:43,,4,3,2.0,,,,,
77,490,23.0,female,6.0,Cognitive Science,,2021-09-08 18:01:14,,3,3,6.0,"{'studytool_used': 'no', 'computer_handling': 'Ich fühle mich im Umgang mit Computern sicher, aber finde mich in neuen Programmen nicht intuitiv zurecht.', 'consulting_requested': 'no'}",360x740,Linux aarch64,de-DE,
78,489,,,,,,2021-09-08 17:52:54,,2,3,2.0,,,,,
79,488,,,,,,2021-09-08 17:52:29,,1,3,0.0,,,,,
80,487,23.0,female,6.0,Cognitive Science,,2021-09-08 17:48:35,,4,3,3.0,"{'studytool_used': 'no', 'computer_handling': 'Ich fühle mich im Umgang mit Computern sicher, aber finde mich in neuen Programmen nicht intuitiv zurecht.', 'consulting_requested': 'no'}",360x740,Linux aarch64,de-DE,
81,486,,,,,,2021-09-08 17:46:43,,3,3,2.0,,,,,
82,485,,,,,,2021-09-08 13:43:12,,2,3,2.0,,,,,
83,484,19.0,female,3.0,Cognitive Science ,,2021-09-07 17:46:25,2021-09-07 18:15:34,1,3,15.0,"{'studytool_used': 'no', 'computer_handling': 'Ich fühle mich im Umgang mit Computern sicher, aber finde mich in neuen Programmen nicht intuitiv zurecht.', 'consulting_requested': 'no'}",1205x753,Linux armv8l,de-DE,
84,483,,,,,,2021-09-07 17:44:55,,4,3,2.0,,,,,
85,482,,,,,,2021-09-07 17:44:33,,3,3,0.0,,,,,
88,479,,,,,,2021-09-06 10:20:25,,4,3,0.0,,,,,
89,478,,,,,,2021-09-05 06:19:37,,3,3,0.0,,,,,
90,477,58.0,male,4.0,Cogsci,,2021-09-04 18:29:07,2021-09-04 18:53:39,2,3,15.0,"{'studytool_used': 'no', 'computer_handling': 'Ich fühle mich im Umgang mit Computern sicher und finde mich in neuen Programmen intuitiv und schnell zurecht.', 'consulting_requested': 'no'}",1366x768,Linux x86_64,de,
91,476,,,,,,2021-09-04 18:28:08,,1,3,2.0,,,,,
93,474,46.0,male,,Verfahrensbearbeitung,,2021-09-03 13:41:41,,3,3,16.0,"{'studytool_used': 'no', 'computer_handling': 'Ich fühle mich im Umgang mit Computern sicher, aber finde mich in neuen Programmen nicht intuitiv zurecht.', 'consulting_requested': 'no'}",360x780,Linux armv8l,de-DE,
95,472,46.0,male,,Verfahrensbearbeitung,,2021-09-03 13:15:17,2021-09-03 13:38:08,1,3,15.0,"{'studytool_used': 'no', 'computer_handling': 'Ich fühle mich im Umgang mit Computern sicher, aber finde mich in neuen Programmen nicht intuitiv zurecht.', 'consulting_requested': 'no'}",360x780,Linux armv8l,de-DE,
96,471,,,,,,2021-09-03 13:13:38,,4,3,2.0,,,,,
105,462,23.0,female,6.0,Cognitive Science,,2021-08-31 20:53:33,,3,3,3.0,"{'studytool_used': 'no', 'computer_handling': 'Ich fühle mich im Umgang mit Computern sicher und finde mich in neuen Programmen intuitiv und schnell zurecht.', 'consulting_requested': 'no'}",360x740,Linux armv8l,de-DE,
106,461,,,,,,2021-08-31 20:52:33,,2,3,2.0,,,,,
107,460,,female,,,,2021-08-31 20:29:07,2021-08-31 20:45:17,1,3,15.0,{},1366x768,Win32,de,
108,459,,,,,,2021-08-31 20:28:45,,4,3,2.0,,,,,
113,454,,,,,,2021-08-31 14:02:38,,3,3,0.0,,,,,
114,453,22.0,female,2.0,Psychologie,,2021-08-31 14:02:18,2021-08-31 14:19:55,2,3,15.0,"{'studytool_used': 'no', 'computer_handling': 'Ich fühle mich im Umgang mit Computern sicher, aber finde mich in neuen Programmen nicht intuitiv zurecht.', 'consulting_requested': 'no'}",1280x720,Win32,de,
115,452,,,,,,2021-08-31 14:00:35,,1,3,2.0,,,,,
116,451,,,,,,2021-08-31 11:55:11,,4,3,0.0,,,,,
117,450,22.0,female,5.0,Cognitive Science,,2021-08-31 11:16:45,2021-08-31 11:31:08,3,3,15.0,"{'studytool_used': 'no', 'consulting_form': 'private Studienberatung', 'computer_handling': 'Ich fühle mich im Umgang mit Computern sicher, aber finde mich in neuen Programmen nicht intuitiv zurecht.', 'consulting_requested': 'yes'}",1500x1000,Win32,de-DE,
118,449,,,,,,2021-08-31 11:14:40,,2,3,2.0,,,,,
120,447,,,,,,2021-08-30 10:07:35,,4,3,0.0,,,,,
121,446,,,,,,2021-08-30 08:31:48,,3,3,0.0,,,,,
122,445,,,,,,2021-08-30 07:35:21,,2,3,1.0,,,,,
124,443,,,,,,2021-08-29 13:44:26,,4,3,0.0,,,,,
126,441,,,,,,2021-08-27 22:24:41,,2,3,2.0,,,,,
127,440,28.0,male,13.0,Cognitive Science,,2021-08-27 13:42:09,,1,3,11.0,"{'studytool_used': 'no', 'computer_handling': 'Ich fühle mich im Umgang mit Computern sicher, aber finde mich in neuen Programmen nicht intuitiv zurecht.', 'consulting_requested': 'no'}",1920x1080,Win32,en-US,
128,439,,,,,,2021-08-27 13:28:36,,4,3,2.0,,,,,
129,438,,,,,,2021-08-27 11:59:22,,3,3,0.0,,,,,
130,437,,,,,,2021-08-26 06:27:32,,2,3,0.0,,,,,
134,433,25.0,male,12.0,Cognitive Science,,2021-08-25 17:05:26,2021-08-25 17:33:20,2,3,15.0,"{'studytool_used': 'no', 'computer_handling': 'Ich fühle mich im Umgang mit Computern sicher und finde mich in neuen Programmen intuitiv und schnell zurecht.', 'consulting_requested': 'no'}",1920x1080,Win32,de,
135,432,,,,,,2021-08-25 17:01:39,,1,3,2.0,,,,,
136,431,23.0,male,8.0,Psychologie,,2021-08-25 16:51:56,2021-08-25 17:03:29,4,3,15.0,"{'studytool_used': 'no', 'computer_handling': 'Ich fühle mich im Umgang mit Computern sicher und finde mich in neuen Programmen intuitiv und schnell zurecht.', 'consulting_requested': 'no'}",1920x1080,Win32,de,
137,430,,,,,,2021-08-25 16:50:07,,3,3,2.0,,,,,
138,429,,,,,,2021-08-25 16:43:41,,2,3,0.0,,,,,
139,428,21.0,female,3.0,"Cognitive Science, Bsc",,2021-08-25 16:30:46,,1,3,11.0,"{'studytool_used': 'no', 'computer_handling': 'Ich fühle mich im Umgang mit Computern sicher, aber finde mich in neuen Programmen nicht intuitiv zurecht.', 'consulting_requested': 'no'}",1536x864,Win32,it-IT,
140,427,,,,,,2021-08-25 16:26:28,,4,3,2.0,,,,,
142,425,,,,,,2021-08-24 19:28:13,,2,3,2.0,,,,,
143,424,28.0,female,5.0,Cognitive science ,,2021-08-24 08:26:23,2021-08-24 08:44:46,1,3,15.0,"{'studytool_used': 'no', 'computer_handling': 'Ich fühle mich im Umgang mit Computern sicher und finde mich in neuen Programmen intuitiv und schnell zurecht.', 'consulting_requested': 'no'}",360x740,Linux armv8l,en-GB,
144,423,,,,,,2021-08-24 08:25:29,,4,3,2.0,,,,,
145,422,,,,,,2021-08-23 15:37:21,,3,3,2.0,,,,,
