,id,participant,question,answer,type,created,tree
0,1633,542,"Bitte betrachte nun dein persönliches Zielsystem in verschiedenen Visualisierungen. Anschließend kannst Du die verschiedenen Visualisierungen gemäß deiner Präferenz, diese zu nutzen, anordnen. (1 – am stärksten präferiert bis 4 – am wenigsten präferiert), condition: 4",4,ranking,2021-09-20 18:15:11,
1,1632,542,"Bitte betrachte nun dein persönliches Zielsystem in verschiedenen Visualisierungen. Anschließend kannst Du die verschiedenen Visualisierungen gemäß deiner Präferenz, diese zu nutzen, anordnen. (1 – am stärksten präferiert bis 4 – am wenigsten präferiert), condition: 3",2,ranking,2021-09-20 18:15:11,
2,1631,542,"Bitte betrachte nun dein persönliches Zielsystem in verschiedenen Visualisierungen. Anschließend kannst Du die verschiedenen Visualisierungen gemäß deiner Präferenz, diese zu nutzen, anordnen. (1 – am stärksten präferiert bis 4 – am wenigsten präferiert), condition: 2",1,ranking,2021-09-20 18:15:10,
3,1630,542,"Bitte betrachte nun dein persönliches Zielsystem in verschiedenen Visualisierungen. Anschließend kannst Du die verschiedenen Visualisierungen gemäß deiner Präferenz, diese zu nutzen, anordnen. (1 – am stärksten präferiert bis 4 – am wenigsten präferiert), condition: 1",3,ranking,2021-09-20 18:15:10,
4,1629,542,Weitere Anmerkungen zu dem Zielsystem?,- ,goalsystem_questions,2021-09-20 18:14:50,
5,1628,542,Was hat dir am wenigsten am Zielsystem gefallen?,Zeitaufwand,goalsystem_questions,2021-09-20 18:14:50,
6,1627,542,Was hat dir besonders an dem Zielsystem gefallen?,"Hierarchische Anordnung, einfache Nutzung",goalsystem_questions,2021-09-20 18:14:49,
7,1626,536,"Bitte betrachte nun dein persönliches Zielsystem in verschiedenen Visualisierungen. Anschließend kannst Du die verschiedenen Visualisierungen gemäß deiner Präferenz, diese zu nutzen, anordnen. (1 – am stärksten präferiert bis 4 – am wenigsten präferiert), condition: 4",4,ranking,2021-09-20 18:11:48,
8,1625,536,"Bitte betrachte nun dein persönliches Zielsystem in verschiedenen Visualisierungen. Anschließend kannst Du die verschiedenen Visualisierungen gemäß deiner Präferenz, diese zu nutzen, anordnen. (1 – am stärksten präferiert bis 4 – am wenigsten präferiert), condition: 3",1,ranking,2021-09-20 18:11:48,
9,1624,536,"Bitte betrachte nun dein persönliches Zielsystem in verschiedenen Visualisierungen. Anschließend kannst Du die verschiedenen Visualisierungen gemäß deiner Präferenz, diese zu nutzen, anordnen. (1 – am stärksten präferiert bis 4 – am wenigsten präferiert), condition: 2",3,ranking,2021-09-20 18:11:48,
10,1623,536,"Bitte betrachte nun dein persönliches Zielsystem in verschiedenen Visualisierungen. Anschließend kannst Du die verschiedenen Visualisierungen gemäß deiner Präferenz, diese zu nutzen, anordnen. (1 – am stärksten präferiert bis 4 – am wenigsten präferiert), condition: 1",2,ranking,2021-09-20 18:11:48,
11,1622,536,Weitere Anmerkungen zu dem Zielsystem?,,goalsystem_questions,2021-09-20 18:10:31,
12,1621,536,Was hat dir am wenigsten am Zielsystem gefallen?,,goalsystem_questions,2021-09-20 18:10:31,
13,1620,536,Was hat dir besonders an dem Zielsystem gefallen?,"Optisches ""Klarmachen""",goalsystem_questions,2021-09-20 18:10:31,
14,1619,529,"Bitte betrachte nun dein persönliches Zielsystem in verschiedenen Visualisierungen. Anschließend kannst Du die verschiedenen Visualisierungen gemäß deiner Präferenz, diese zu nutzen, anordnen. (1 – am stärksten präferiert bis 4 – am wenigsten präferiert), condition: 4",4,ranking,2021-09-20 10:36:49,
15,1618,529,"Bitte betrachte nun dein persönliches Zielsystem in verschiedenen Visualisierungen. Anschließend kannst Du die verschiedenen Visualisierungen gemäß deiner Präferenz, diese zu nutzen, anordnen. (1 – am stärksten präferiert bis 4 – am wenigsten präferiert), condition: 3",2,ranking,2021-09-20 10:36:49,
16,1617,529,"Bitte betrachte nun dein persönliches Zielsystem in verschiedenen Visualisierungen. Anschließend kannst Du die verschiedenen Visualisierungen gemäß deiner Präferenz, diese zu nutzen, anordnen. (1 – am stärksten präferiert bis 4 – am wenigsten präferiert), condition: 2",1,ranking,2021-09-20 10:36:49,
17,1616,529,"Bitte betrachte nun dein persönliches Zielsystem in verschiedenen Visualisierungen. Anschließend kannst Du die verschiedenen Visualisierungen gemäß deiner Präferenz, diese zu nutzen, anordnen. (1 – am stärksten präferiert bis 4 – am wenigsten präferiert), condition: 1",3,ranking,2021-09-20 10:36:49,
18,1615,529,Weitere Anmerkungen zu dem Zielsystem?,Checkliste hat mir gefehlt; Ich wüsste auch nicht direkt bei welcher Aufgabe es sinnvoll wäre anzufangen. Eventuell hilft da eine Priorisierung unter den Aufgaben oder (wie auch schon durch die Hierarchie angedeutet) eine Abhängigkeit der Aufgaben,goalsystem_questions,2021-09-20 10:36:33,
